species_id,Domain,Phylum,Class,Order,Family,Genus,Species
OTU-07175,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__NS11-12g,,,
OTU-16345,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,s__Brevundimonas subvibrioides
OTU-06490,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,
OTU-09272,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Amphibacillaceae,g__Paucisalibacillus,s__
OTU-00975,d__Archaea,p__Thermoplasmataeota,c__Epipelagoarchaeia,o__MGII,,,
OTU-13386,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus_C,s__
OTU-20562,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Pantoea,s__
OTU-00480,d__Archaea,p__Halobacteraeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,
OTU-23774,d__Bacteria,p__YA12-FULL-61-11,c__YA12-FULL-61-11,,,,
OTU-14413,d__Bacteria,p__GWC2-55-46,c__GWC2-55-46,o__GWC2-55-46,f__UBA9637,g__UBA10170,s__UBA10170 sp1
OTU-11893,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,,
OTU-14800,d__Bacteria,p__O2-12-FULL-43-9,c__O2-12-FULL-43-9,o__2-02-FULL-40-11,f__2-02-FULL-40-11,g__2-02-FULL-40-11,s__
OTU-00063,d__Archaea,p__Crenarchaeota,c__Bathyarchaeia,o__Bathyarchaeales,f__Bathyarchaeaceae,g__,
OTU-23553,d__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Opitutales,f__CAG-312,g__CAG-312,
OTU-16459,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Maricaulaceae,g__Oceanicaulis,s__
OTU-19203,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Massilia_A,
OTU-10463,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,
OTU-07071,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__
OTU-14711,d__Bacteria,p__Nitrospinae,c__Nitrospinia,o__Nitrospinales,f__Nitrospinaceae,g__SCGCAAA288-L16,
OTU-11737,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_X,s__Clostridium_X cadaveris
OTU-01509,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__MedAcidi-G1,g__MedAcidi-G1,s__MedAcidi-G1 sp1
OTU-18175,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,,
OTU-01422,d__Bacteria,p__Acidobacteria,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__RBG-13-68-16,
OTU-00976,d__Archaea,p__Thermoplasmataeota,c__Epipelagoarchaeia,o__MGII,,,
OTU-06719,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__MAG-121220-bin8,
OTU-20866,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Shewanellaceae,g__Shewanella,
OTU-21780,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter gandensis
OTU-22591,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiohalospirales,f__Thiohalospiraceae,g__Thiohalospira,s__Thiohalospira halophila
OTU-06569,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium degerlachei
OTU-11183,d__Bacteria,p__Firmicutes,c__Bacilli_A,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus_A,
OTU-08190,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
OTU-21407,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Cellvibrionaceae,,
OTU-12128,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-590,
OTU-17240,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Neorhizobium,
OTU-10690,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Mycoplasmataceae_B,g__Mycoplasma_E,s__Mycoplasma_E bovoculi
OTU-00670,d__Archaea,p__Halobacteraeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,g__Methanolinea,
OTU-16975,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,s__Hyphomicrobium denitrificans_A
OTU-17657,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__24-YEA-8,
OTU-13741,d__Bacteria,p__Firmicutes,c__Clostridia,o__Tissierellales,f__Helcococcaceae,g__Helcococcus,s__Helcococcus kunzii
OTU-22592,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiomicrospirales,,,
OTU-17352,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,s__
OTU-02520,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium falsenii
OTU-05412,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,,
OTU-09788,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Sporolactobacillaceae,g__Tuberibacillus,
OTU-09962,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Ignavigranum,s__Ignavigranum ruoffiae
OTU-10879,d__Bacteria,p__Firmicutes,c__Bacilli,o__RFN20,f__CAG-288,,
OTU-03902,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces sp23
OTU-03870,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces purpureus
OTU-05136,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Dysgonomonadaceae,g__Petrimonas,s__Petrimonas mucosa
OTU-11752,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Youngiibacter,
OTU-20499,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Kluyvera,s__
OTU-00671,d__Archaea,p__Halobacteraeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,g__Methanolinea,
OTU-13819,d__Bacteria,p__Firmicutes,c__CSP1-3,,,,
OTU-20277,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Rheinheimera,s__Rheinheimera salexigens
OTU-17629,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,
OTU-15278,d__Bacteria,p__Patescibacteria,c__Microgenomatia,o__UBA1400,f__UBA12108,,
OTU-04774,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides_B,s__Bacteroides_B dorei
OTU-06071,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,s__Hymenobacter aerophilus
OTU-06418,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga haemolytica
OTU-21047,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,g__Vibrio,s__Vibrio kanaloae
OTU-14838,d__Bacteria,p__Omnitrophica,c__koll11,o__UBA10015,,,
OTU-08423,d__Bacteria,p__Desulfobacteraeota,c__Desulfobacteria,o__C00003060,f__C00003106,g__C00003106,s__
OTU-08851,d__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__Elusimicrobiales,f__UBA9959,g__UBA9959,s__UBA9959 sp3
OTU-00708,d__Archaea,p__Halobacteraeota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanolobus,
OTU-18505,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,
OTU-23459,d__Bacteria,p__Verrucomicrobia,c__Lentisphaeria,o__UBA1784,,,
OTU-19193,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Massilia,s__
OTU-03635,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__
OTU-07131,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium_A,s__Chryseobacterium_A antarcticum
OTU-13284,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,
OTU-11234,d__Bacteria,p__Firmicutes,c__Bacilli_A,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus_E,s__Paenibacillus_E sp1
OTU-06307,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,,
OTU-22002,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudohongiellaceae,g__OM182,s__OM182 sp1
OTU-16467,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Parvularculaceae,g__Parvularcula,s__Parvularcula bermudensis
OTU-15795,d__Bacteria,p__Patescibacteria,c__WWE3,o__UBA101185,,,
OTU-05413,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,,
OTU-22269,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__
OTU-18293,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__B12,s__
OTU-16606,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Pelagibacterales,f__HIMB59,g__HIMB59,
OTU-13415,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruthenibacterium,
OTU-20256,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Pseudoalteromonas,s__Pseudoalteromonas marina
OTU-13054,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-110,
OTU-01891,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Cellulomonadaceae,g__Sanguibacter_A,
OTU-12661,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__CAG-272,,
OTU-03496,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Kitasatospora,
OTU-20538,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Moellerella,s__Moellerella wisconsensis
OTU-11699,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_G,s__Clostridium_G cochlearium
OTU-22746,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Woeseiales,f__Woeseiaceae,,
OTU-13764,d__Bacteria,p__Firmicutes,c__Clostridia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__
OTU-21842,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Perlucidibaca,s__Perlucidibaca piscinae
OTU-15568,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__Nomurabacteraceae,g__UBA9973,
OTU-08285,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Synechococcales_A,f__Cyanobiaceae,g__Synechococcus_C,s__Synechococcus_C sp5
OTU-08205,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Synechococcales_A,f__Cyanobiaceae,g__Prochlorococcus_A,
OTU-11763,d__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Anaerofustaceae,g__Anaerofustis,s__Anaerofustis stercorihominis
OTU-10751,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Ureaplasmataceae,g__Mycoplasma_C,s__Mycoplasma_C alvi
OTU-16649,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__Pelagibacter,
OTU-17131,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Bartonella,s__Bartonella birtlesii
OTU-06197,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__ASP10-05a,,
OTU-23124,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Sphaerochaeta,s__
OTU-20786,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pasteurellaceae,g__Haemophilus_B,s__Haemophilus_B ducreyi
OTU-14761,d__Bacteria,p__Nitrospirae,c__RBG-16-64-22,o__RBG-16-64-22,f__RBG-16-64-22,g__RBG-16-64-22,s__
OTU-08206,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Synechococcales_A,f__Cyanobiaceae,g__Prochlorococcus_A,
OTU-05761,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,,
OTU-06767,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__MS024-2A,
OTU-19277,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Paraburkholderia,s__Paraburkholderia phenazinium
OTU-07280,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__Pedobacter rhizosphaerae
OTU-09429,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_A,g__Bacillus_W,s__Bacillus_W drentensis
OTU-00663,d__Archaea,p__Halobacteraeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanomicrobiaceae,g__Methanomicrobium,s__Methanomicrobium mobile
OTU-07789,d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__Dehalococcoidales,,,
OTU-20285,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Salinimonas,s__Salinimonas chungwhensis
OTU-14677,d__Bacteria,p__Myxococcaeota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__Sorangium,s__Sorangium cellulosum_A
OTU-15317,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Moranbacterales,f__UBA1568,g__UBA1568,s__UBA1568 sp2
OTU-15254,d__Bacteria,p__Patescibacteria,c__Microgenomatia,o__UBA1400,f__Collierbacteraceae,g__UBA10133,s__
OTU-00400,d__Archaea,p__Euryarchaeota,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,
OTU-22395,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__Pseudomonas_E putida_B
OTU-13888,d__Bacteria,p__Firmicutes,c__Desulfotomaculia,o__Desulfotomaculales,f__Desulfotomaculaceae_A,g__Desulfotomaculum_B,s__Desulfotomaculum_B geothermicum
OTU-21495,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Hahellaceae,g__Marinobacter,s__Marinobacter daqiaonensis
OTU-02781,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Mycobacterium,s__Mycobacterium abscessus
OTU-01590,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__ACK-M1,f__BACL15,g__AAA044-D11,
OTU-10757,d__Bacteria,p__Firmicutes,c__Bacilli,o__Mycoplasmatales,f__Ureaplasmataceae,g__Mycoplasma_C,s__Mycoplasma_C testudinis
OTU-20195,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Idiomarina,s__Idiomarina salinarum
OTU-01047,d__Archaea,p__Thermoplasmataeota,c__Epipelagoarchaeia,o__MGII,f__MGIIA,g__REDSEA-S03-B6,
OTU-07660,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__envOPS12,g__UBA8950,
OTU-03636,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__
OTU-23233,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Treponematales,f__Treponemataceae_B,g__Treponema_E,s__Treponema_E primitia
OTU-21963,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudohongiellaceae,,
OTU-04228,d__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,
OTU-03637,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__
OTU-02191,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Microbacterium,s__
OTU-10553,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus hongkongensis
OTU-14369,d__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,,,,
OTU-06768,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__MS024-2A,
OTU-06347,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,,
OTU-03915,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces sp8
OTU-01816,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Bifidobacteriaceae,g__Scardovia,s__Scardovia wiggsiae
OTU-14550,d__Bacteria,p__Marinimicrobia,c__Marinisomatia,o__Marinisomatales,f__S15-B10,,
OTU-04091,d__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Libanicoccus,
OTU-21025,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,g__Vibrio,s__Vibrio caribbeanicus
OTU-06284,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,,
OTU-04916,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,
OTU-08292,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Thermosynechococcales,f__Thermosynechococcaceae,g__Thermosynechococcus,s__Thermosynechococcus elongatus
OTU-04506,d__Bacteria,p__Armatimonadetes,c__Fimbriimonadia,o__Fimbriimonadales,f__Fimbriimonadaceae,,
OTU-07451,d__Bacteria,p__Bdellovibrionaeota,,,,,
OTU-12261,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Dorea,s__
OTU-07555,d__Bacteria,p__Chloroflexi,,,,,
OTU-08057,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Nostocales,f__Nostocaceae,g__Cylindrospermum,s__Cylindrospermum stagnale
OTU-11131,d__Bacteria,p__Firmicutes,c__Bacilli_A,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus,s__
OTU-04229,d__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,
OTU-07977,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__JSC-1,f__JSC-1,g__JSC-1,s__
OTU-11941,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Agathobacter,
OTU-04618,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__43-108,
OTU-07116,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__Chryseobacterium wanjuense
OTU-16907,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylosinus,s__Methylosinus sp1
OTU-17801,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Loktanella,s__Loktanella salsilacus
OTU-21586,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halomonadaceae,g__Halomonas,s__
OTU-07508,d__Bacteria,p__Bdellovibrionaeota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,,
OTU-01707,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Arcanobacterium,s__Arcanobacterium haemolyticum
OTU-00000,d__Archaea,,,,,,
OTU-23708,d__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Haloferula,
OTU-14073,d__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Centipeda,s__Centipeda sp2
OTU-16821,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Bosea,
OTU-13592,d__Bacteria,p__Firmicutes,c__Clostridia,o__Saccharofermentanales,f__DTU023,g__UBA4923,s__
OTU-22134,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,
OTU-14459,d__Bacteria,p__Margulisbacteria,,,,,
OTU-05114,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Dysgonomonadaceae,g__Dysgonomonas,
OTU-12830,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__DTU089,g__CAG-177,
OTU-07448,d__Bacteria,p__Bacteroidetes,c__UBA10030,o__UBA10030,f__UBA10030,,
OTU-21400,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Alcanivoracaceae,g__Alcanivorax,s__Alcanivorax sp2
OTU-01500,d__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Microtrichales,f__MedAcidi-G1,g__MedAcidi-G1,
OTU-08279,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Synechococcales_A,f__Cyanobiaceae,g__Synechococcus_C,s__
OTU-20923,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,g__Aliivibrio,s__Aliivibrio fischeri
OTU-01567,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__ACK-M1,f__AcAMD-5,,
OTU-18196,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Thalassospiraceae,g__Thalassospira,
OTU-13085,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,
OTU-16078,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,
OTU-04513,d__Bacteria,p__Armatimonadetes,c__Fimbriimonadia,o__Fimbriimonadales,f__Fimbriimonadaceae,g__Fimbriimonas,s__Fimbriimonas ginsengisoli
OTU-20377,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Cronobacter,s__Cronobacter malonaticus
OTU-08496,d__Bacteria,p__Desulfobacteraeota,c__Desulfobulbia,o__Desulfobulbales,f__Desulfobulbaceae,,
OTU-15576,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__Nomurabacteraceae,g__UBA9973,s__
OTU-05302,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Lentimicrobiaceae,,
OTU-20257,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Pseudoalteromonas,s__Pseudoalteromonas phenolica
OTU-14826,d__Bacteria,p__Omnitrophica,c__koll11,o__GIF10,f__UBA6249,,
OTU-09679,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Caryophanon,s__Caryophanon tenue
OTU-14921,d__Bacteria,p__Patescibacteria,c__ABY1,o__Magasanikibacterales,f__GWA2-37-8,,
OTU-06264,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Blattabacteriaceae,g__Blattabacterium,s__
OTU-11090,d__Bacteria,p__Firmicutes,c__Bacilli_A,o__Paenibacillales,,,
OTU-09459,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_A,g__FJAT-27916,s__
OTU-22875,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudoxanthomonas,s__Pseudoxanthomonas suwonensis_C
OTU-07415,d__Bacteria,p__Bacteroidetes,c__Rhodothermia,o__Balneolales,f__Balneolaceae,,
OTU-01897,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Cellulomonadaceae,g__W15,s__
OTU-15292,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Azambacterales,f__GWC2-36-17,,
OTU-19329,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Pelistega,s__Pelistega indica
OTU-08266,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Synechococcales_A,f__Cyanobiaceae,g__Synechococcus_C,
OTU-14275,d__Bacteria,p__Firmicutes,c__Thermoanaerobacteria,o__Caldicellulosiruptorales,f__Caldicellulosiruptoraceae,g__Caldicellulosiruptor,s__Caldicellulosiruptor saccharolyticus
OTU-01062,d__Archaea,p__Thermoplasmataeota,c__Epipelagoarchaeia,o__MGII,f__MGIIA,g__REDSEA-S41-B6,
OTU-21040,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Vibrionaceae,g__Vibrio,s__Vibrio harveyi_A
OTU-14915,d__Bacteria,p__Patescibacteria,c__ABY1,o__Komeilibacterales,f__UBA1558,g__UBA1558,s__UBA1558 sp1
