#SampleID	Exp1A1_prefix.assembled_metaphlan_bugs_list	Exp1A2_prefix.assembled_metaphlan_bugs_list	Exp1AS1_prefix.assembled_metaphlan_bugs_list	Exp1AS2_prefix.assembled_metaphlan_bugs_list	Exp1C1_prefix.assembled_metaphlan_bugs_list	Exp1C2_prefix.assembled_metaphlan_bugs_list	Exp1S1_prefix.assembled_metaphlan_bugs_list	Exp1S2_prefix.assembled_metaphlan_bugs_list	Exp2A1_prefix.assembled_metaphlan_bugs_list	Exp2A2_prefix.assembled_metaphlan_bugs_list	Exp2AS1_prefix.assembled_metaphlan_bugs_list	Exp2AS2_prefix.assembled_metaphlan_bugs_list	Exp2C1New.assembled_metaphlan_bugs_list	Exp2C2_prefix.assembled_metaphlan_bugs_list	Exp2S1_prefix.assembled_metaphlan_bugs_list	Exp2S2_prefix.assembled_metaphlan_bugs_list	Exp3A1_prefix.assembled_metaphlan_bugs_list	Exp3A2_prefix.assembled_metaphlan_bugs_list	Exp3AS1_prefix.assembled_metaphlan_bugs_list	Exp3AS2_prefix.assembled_metaphlan_bugs_list	Exp3C1_prefix.assembled_metaphlan_bugs_list	Exp3C2_prefix.assembled_metaphlan_bugs_list	Exp3S1_prefix.assembled_metaphlan_bugs_list	Exp3S2_prefix.assembled_metaphlan_bugs_list
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	7.69276	5.3227	6.13796	6.92899	5.28641	5.44616	7.28118	7.23072	33.55191	21.3628	10.44925	6.83923	34.80179	38.5563	5.86623	8.60969	16.52401	15.08382	10.44592	9.67242	15.94882	14.6772	11.34971	11.21931
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0	0	0	0	0	0	0	0	0.02683	0.01589	0	0.00328	0.16717	0.00965	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0	0	0	0	0	0	0	0	0.02683	0.01589	0	0.00328	0.16717	0.00965	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium	0	0	0	0	0	0	0	0	0.02683	0.01589	0	0.00328	0.16717	0.00965	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium|t__Enterococcus_faecium_unclassified	0	0	0	0	0	0	0	0	0.02683	0.01589	0	0.00328	0.16717	0.00965	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	7.69276	5.3191	6.13796	6.92899	5.28641	5.44616	7.28118	7.23072	33.51321	21.34329	10.44925	6.83595	34.62647	38.54117	5.86623	8.60969	0	0	0	0	0	0	0	0.00219
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	7.69276	5.3191	6.13796	6.92899	5.28641	5.44616	7.28118	7.23072	33.51321	21.34329	10.44925	6.83595	34.62647	38.54117	5.86623	8.60969	0	0	0	0	0	0	0	0.00219
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_acidophilus	0	0	0	0	0.00176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_acidophilus|t__Lactobacillus_acidophilus_unclassified	0	0	0	0	0.00176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00219
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii|t__Lactobacillus_delbrueckii_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00219
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_oris	0	0	0	0	0	0	0	0	0	0	0	0	0.00167	0	0.00128	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_oris|t__Lactobacillus_oris_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0.00167	0	0.00128	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri	0	0	0	0	0	0	0	0	33.51321	21.34329	10.44925	6.83595	34.6248	38.54117	5.86495	8.60969	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri|t__Lactobacillus_reuteri_unclassified	0	0	0	0	0	0	0	0	33.51321	21.34329	10.44925	6.83595	34.6248	38.54117	5.86495	8.60969	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_ruminis	7.59342	5.23781	6.11424	6.91406	5.22421	5.40716	7.25916	7.2164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_ruminis|t__Lactobacillus_ruminis_unclassified	7.59342	5.23781	6.11424	6.91406	5.22421	5.40716	7.25916	7.2164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_salivarius	0.09934	0.08129	0.02372	0.01493	0.06044	0.03899	0.02202	0.01432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_salivarius|t__Lactobacillus_salivarius_unclassified	0.09934	0.08129	0.02372	0.01493	0.06044	0.03899	0.02202	0.01432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	0	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.52346	15.07688	10.44592	9.66833	15.94319	14.67377	11.34971	11.21712
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella	0	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.52346	15.07688	10.44592	9.66833	15.94319	14.67377	11.34971	11.21712
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.52346	15.06187	10.44592	9.66784	15.92136	14.66247	11.34263	11.21712
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria|t__GCF_000193635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.52346	15.06187	10.44592	9.66784	15.92136	14.66247	11.34263	11.21712
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_confusa	0	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01502	0	0.00049	0.02182	0.0113	0.00708	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_confusa|t__GCF_000239955	0	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01502	0	0.00049	0.02182	0.0113	0.00708	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0	0	0	0	0	0	0	0	0.01187	0.00362	0	0	0.00816	0.00548	0	0	0.00055	0.00694	0	0.0041	0.00564	0.00342	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0	0	0	0	0	0	0	0	0.01187	0.00362	0	0	0.00816	0.00548	0	0	0.00055	0.00694	0	0.0041	0.00564	0.00342	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius	0	0	0	0	0	0	0	0	0.01187	0.00362	0	0	0.00816	0.00548	0	0	0.00055	0.00694	0	0.0041	0.00564	0.00342	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__Streptococcus_salivarius_unclassified	0	0	0	0	0	0	0	0	0.01187	0.00362	0	0	0.00816	0.00548	0	0	0.00055	0.00694	0	0.0041	0.00564	0.00342	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	0.40015	0.24658	0.1971	0.22789	0.32199	0.25129	0.25176	0.19018	0.56684	0.40063	0.20298	0.22456	0.45031	0.53683	0.32033	0.26741	1.28362	1.25576	0.74052	0.83226	1.62367	1.10928	1.01322	0.98695
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.40015	0.24658	0.1971	0.22789	0.32199	0.25129	0.25176	0.19018	0.56684	0.40063	0.20298	0.22456	0.45031	0.53683	0.32033	0.26741	1.28362	1.25576	0.74052	0.83226	1.62367	1.10928	1.01322	0.98695
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26174	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26174	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26174	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens|t__Clostridium_perfringens_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26174	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.0135	0.00954	0.01132	0.01072	0.01442	0.00717	0.00547	0.00727	0	0	0	0	0	0	0	0	0.01055	0.01093	0.00904	0.00545	0.01348	0.00559	0.00189	0.00878
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname	0.0135	0.00954	0.01132	0.01072	0.01442	0.00717	0.00547	0.00727	0	0	0	0	0	0	0	0	0.01055	0.01093	0.00904	0.00545	0.01348	0.00559	0.00189	0.00878
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Bacteroides_pectinophilus	0.0135	0.00954	0.01132	0.01072	0.01442	0.00717	0.00547	0.00727	0	0	0	0	0	0	0	0	0.01055	0.01093	0.00904	0.00545	0.01348	0.00559	0.00189	0.00878
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Bacteroides_pectinophilus|t__GCF_000155855	0.0135	0.00954	0.01132	0.01072	0.01442	0.00717	0.00547	0.00727	0	0	0	0	0	0	0	0	0.01055	0.01093	0.00904	0.00545	0.01348	0.00559	0.00189	0.00878
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.02068	0.00624	0.00536	0.00602	0.01969	0.00531	0.00571	0.0047	0.31149	0.2168	0.11387	0.13308	0.22536	0.28323	0.17027	0.16234	0.28018	0.29158	0.18697	0.21691	0.34907	0.22136	0.22029	0.22552
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	0.02068	0.00624	0.00536	0.00602	0.01969	0.00531	0.00571	0.0047	0.31149	0.2168	0.11387	0.13308	0.22536	0.28323	0.17027	0.16234	0.28018	0.29158	0.18697	0.21691	0.34907	0.22136	0.22029	0.22552
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	0.0021	0	0	0	0	0	0	0	0.00569	0	0.00223	0	0.00298	0	0	0	0.0268	0.03551	0.01114	0.02253	0.03899	0	0.00602	0.00372
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii|t__GCF_000173975	0.0021	0	0	0	0	0	0	0	0.00569	0	0.00223	0	0.00298	0	0	0	0.0268	0.03551	0.01114	0.02253	0.03899	0	0.00602	0.00372
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00143	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus|t__GCF_000469345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00143	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale	0.01858	0.00624	0.00536	0.00602	0.01969	0.00531	0.00571	0.0047	0.3058	0.2168	0.11164	0.13308	0.22238	0.28323	0.17027	0.16234	0.25338	0.25607	0.17583	0.19439	0.30735	0.22136	0.21427	0.2218
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale|t__Eubacterium_rectale_unclassified	0.01858	0.00624	0.00536	0.00602	0.01969	0.00531	0.00571	0.0047	0.3058	0.2168	0.11164	0.13308	0.22238	0.28323	0.17027	0.16234	0.25338	0.25607	0.17583	0.19439	0.30735	0.22136	0.21427	0.2218
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum|t__Eubacterium_siraeum_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.09063	0.0525	0.04646	0.05012	0.08126	0.03891	0.04638	0.05184	0.08474	0.04744	0.03571	0.03038	0.07213	0.11696	0.04074	0.05229	0.10598	0.14894	0.05303	0.06221	0.15427	0.07417	0.08856	0.04814
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00063	0.00783	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00063	0.00783	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__GCF_000332875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00063	0.00783	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0.00749	0.0019	0.00239	0.00322	0.00952	0	0.00055	0	0.00091	0.00403	0.01247	0	0.00318	0.00081	0	0.0261	0.01518	0.05869	0.00972	0.01292	0.05094	0.02145	0.01908	0.0117
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum	0.00749	0.0019	0.00239	0.00322	0.00952	0	0.00055	0	0.00091	0.00403	0	0	0.00318	0.00081	0	0	0.01518	0.03206	0.00972	0.01292	0.03263	0.02145	0.01908	0.0117
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum|t__Ruminococcus_obeum_unclassified	0.00749	0.0019	0.00239	0.00322	0.00952	0	0.00055	0	0.00091	0.00403	0	0	0.00318	0.00081	0	0	0.01518	0.03206	0.00972	0.01292	0.03263	0.02145	0.01908	0.0117
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	0	0	0	0	0	0	0	0	0	0	0.01247	0	0	0	0	0.0261	0	0.02662	0	0	0.01831	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques|t__Ruminococcus_torques_unclassified	0	0	0	0	0	0	0	0	0	0	0.01247	0	0	0	0	0.0261	0	0.02662	0	0	0.01831	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	0.03222	0.02694	0.03008	0.02718	0.03806	0.01497	0.02847	0.03771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus	0.03222	0.02694	0.03008	0.02718	0.03806	0.01497	0.02847	0.03771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus|t__GCF_000156015	0.03222	0.02694	0.03008	0.02718	0.03806	0.01497	0.02847	0.03771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	0.00664	0.0023	0.00168	0.00083	0.00327	0.00106	0	0	0.00216	0	0	0	0.00206	0	0	0	0.01152	0.01293	0.00297	0.00598	0.01716	0.00959	0.00647	0.01074
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	0.0054	0.0023	0.00168	0.00083	0.00133	0.00106	0	0	0.00216	0	0	0	0.00206	0	0	0	0.01152	0.01293	0.00297	0.00598	0.01716	0.00959	0.00647	0.01074
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus|t__GCF_000210555	0.0054	0.0023	0.00168	0.00083	0.00133	0.00106	0	0	0.00216	0	0	0	0.00206	0	0	0	0.01152	0.01293	0.00297	0.00598	0.01716	0.00959	0.00647	0.01074
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes	0.00123	0	0	0	0.00194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes|t__GCF_000155875	0.00123	0	0	0	0.00194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.02825	0.01222	0.0089	0.00894	0.01205	0.0131	0.01352	0.00917	0.05181	0.02095	0.01157	0.01383	0.03882	0.08193	0.02187	0.01274	0.04715	0.04776	0.02551	0.02789	0.05401	0.02826	0.03601	0.0212
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	0.00951	0.00164	0.00125	0.0008	0.00272	0	0.00757	0	0.01064	0.02004	0.00254	0.004	0.02419	0.00898	0.01032	0.00462	0	0.00674	0.00295	0	0.00408	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans|t__Dorea_formicigenerans_unclassified	0.00951	0.00164	0.00125	0.0008	0.00272	0	0.00757	0	0.01064	0.02004	0.00254	0.004	0.02419	0.00898	0.01032	0.00462	0	0.00674	0.00295	0	0.00408	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	0.01874	0.01058	0.00765	0.00815	0.00933	0.00462	0.00595	0.00917	0.00974	0.00092	0.00433	0.00659	0.00997	0.00639	0.01155	0.00812	0.03122	0.04102	0.02256	0.02501	0.04993	0.02826	0.03601	0.0212
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__GCF_000154065	0.01874	0.01058	0.00765	0.00815	0.00933	0.00462	0.00595	0.00917	0.00974	0.00092	0.00433	0.00659	0.00997	0.00639	0.01155	0.00812	0.03122	0.04102	0.02256	0.02501	0.04993	0.02826	0.03601	0.0212
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_unclassified	0	0	0	0	0	0.00848	0	0	0.03142	0	0.0047	0.00324	0.00467	0.06656	0	0	0.01593	0	0	0.00289	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0073	0.00385	0.00226	0.00321	0.00431	0.00062	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0073	0.00385	0.00226	0.00321	0.00431	0.00062	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA|t__GCF_000185525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0073	0.00385	0.00226	0.00321	0.00431	0.00062	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	0.01603	0.00914	0.00341	0.00995	0.01836	0.00978	0.00384	0.00496	0.02986	0.02246	0.01167	0.01655	0.02807	0.03423	0.01887	0.01345	0.02483	0.02571	0.01257	0.01157	0.02002	0.01425	0.027	0.00449
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	0.00091	0	0	0	0.00071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis|t__GCF_000225345	0.00091	0	0	0	0.00071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis	0.00228	0	0	0	0.00481	0.00116	0	0	0.00602	0.00222	0	0	0	0.00512	0	0	0.00207	0.00355	0.00212	0.00347	0.00841	0.00057	0.00255	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis|t__Roseburia_intestinalis_unclassified	0.00228	0	0	0	0.00481	0.00116	0	0	0.00602	0.00222	0	0	0	0.00512	0	0	0.00207	0.00355	0.00212	0.00347	0.00841	0.00057	0.00255	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans	0.01284	0.00326	0.00341	0.00995	0.01284	0.00187	0	0.00496	0.02384	0.02024	0.01167	0.01655	0.02807	0.02511	0.00659	0.01345	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans|t__GCF_000174195	0.01284	0.00326	0.00341	0.00995	0.01284	0.00187	0	0.00496	0.02384	0.02024	0.01167	0.01655	0.02807	0.02511	0.00659	0.01345	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified	0	0.00588	0	0	0	0.00676	0.00384	0	0	0	0	0	0	0.00399	0.01228	0	0.02276	0.02216	0.01045	0.0081	0.01161	0.01368	0.02445	0.00449
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03871
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03871
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03871
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.27534	0.1783	0.13395	0.16103	0.20662	0.1999	0.1942	0.12637	0.17061	0.13639	0.0534	0.0611	0.15282	0.13664	0.10932	0.05278	0.8869	0.80431	0.49146	0.54768	0.8451	0.80817	0.70247	0.6658
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	0.1385	0.10084	0.07915	0.07823	0.09629	0.11679	0.07411	0.08733	0.08331	0.06736	0.02264	0.03426	0.0595	0.05939	0.03065	0.03669	0.34346	0.29507	0.19148	0.21394	0.32754	0.3292	0.25921	0.22373
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii	0.1385	0.10084	0.07915	0.07823	0.09629	0.11679	0.07411	0.08733	0.08331	0.06736	0.02264	0.03426	0.0595	0.05939	0.03065	0.03669	0.34346	0.29507	0.19148	0.21394	0.32754	0.3292	0.25921	0.22373
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__Faecalibacterium_prausnitzii_unclassified	0.1385	0.10084	0.07915	0.07823	0.09629	0.11679	0.07411	0.08733	0.08331	0.06736	0.02264	0.03426	0.0595	0.05939	0.03065	0.03669	0.34346	0.29507	0.19148	0.21394	0.32754	0.3292	0.25921	0.22373
