#SampleID	Exp1A1_prefix.assembled_metaphlan_bugs_list	Exp1A2_prefix.assembled_metaphlan_bugs_list	Exp1AS1_prefix.assembled_metaphlan_bugs_list	Exp1AS2_prefix.assembled_metaphlan_bugs_list	Exp1C1_prefix.assembled_metaphlan_bugs_list	Exp1C2_prefix.assembled_metaphlan_bugs_list	Exp1S1_prefix.assembled_metaphlan_bugs_list	Exp1S2_prefix.assembled_metaphlan_bugs_list	Exp2A1_prefix.assembled_metaphlan_bugs_list	Exp2A2_prefix.assembled_metaphlan_bugs_list	Exp2AS1_prefix.assembled_metaphlan_bugs_list	Exp2AS2_prefix.assembled_metaphlan_bugs_list	Exp2C1New.assembled_metaphlan_bugs_list	Exp2C2_prefix.assembled_metaphlan_bugs_list	Exp2S1_prefix.assembled_metaphlan_bugs_list	Exp2S2_prefix.assembled_metaphlan_bugs_list	Exp3A1_prefix.assembled_metaphlan_bugs_list	Exp3A2_prefix.assembled_metaphlan_bugs_list	Exp3AS1_prefix.assembled_metaphlan_bugs_list	Exp3AS2_prefix.assembled_metaphlan_bugs_list	Exp3C1_prefix.assembled_metaphlan_bugs_list	Exp3C2_prefix.assembled_metaphlan_bugs_list	Exp3S1_prefix.assembled_metaphlan_bugs_list	Exp3S2_prefix.assembled_metaphlan_bugs_list
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	76.33355	78.90097	76.42976	77.50683	79.31402	79.23554	82.14533	82.72245	56.07734	68.86493	58.84021	70.45912	55.34022	50.48295	90.02249	87.62111	77.88481	79.00714	63.66273	66.05197	78.16185	79.46738	83.55489	83.62605
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	67.76063	70.27172	72.12664	74.36121	72.18637	72.24791	77.99408	78.68741	56.00672	68.75979	58.22983	69.74768	55.26217	50.41188	89.14193	86.83732	55.37596	58.16412	40.34054	40.50713	56.59036	58.14072	53.59325	53.69289
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__Bifidobacterium_adolescentis_unclassified	67.76063	70.27172	72.12664	74.36121	72.18637	72.24791	77.99408	78.68741	56.00672	68.75979	58.22983	69.74768	55.26217	50.41188	89.14193	86.83732	55.37596	58.16412	40.34054	40.50713	56.59036	58.14072	53.59325	53.69289
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum	4.43441	4.57774	1.62177	0.90504	3.74391	3.4709	1.58113	1.4065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum|t__GCF_000156635	4.43441	4.57774	1.62177	0.90504	3.74391	3.4709	1.58113	1.4065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0.6659	0.58569	0.26315	0.22723	0.57321	0.52543	0.28297	0.29027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__Bifidobacterium_animalis_unclassified	0.6659	0.58569	0.26315	0.22723	0.57321	0.52543	0.28297	0.29027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.28178	14.55726	20.24238	21.93729	15.1997	16.13296	25.96547	25.7983
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum|t__GCF_000173455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.28178	14.55726	20.24238	21.93729	15.1997	16.13296	25.96547	25.7983
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00162	0	0	0	0.00835	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium|t__Bifidobacterium_dentium_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00162	0	0	0	0.00835	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	3.47261	3.46581	2.4182	2.01334	2.81052	2.99129	2.28715	2.33826	0.03485	0.03885	0.53288	0.62504	0.04456	0.02844	0.79449	0.72551	5.22545	6.28576	3.07981	3.60756	6.36345	5.19371	3.99616	4.13486
