species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-13420	Subdoligranulum sp.	153624	163	46.0122699387	327	0.311989012134	0.0151994757871
OTU-13390	Ruminococcus callidus	83739	82	52.4390243902	174	0.30869726173	0.0150391083427
OTU-11437	Clostridia HGM11437	32475	32	53.125	68	0.305804464973	0.0148981771158
OTU-12290	Eubacterium sp.	195324	202	46.0396039604	394	0.294674489566	0.0143559471489
OTU-05702	Parabacteroides sp.	170775	132	50.7575757576	339	0.290458205241	0.0141505382754
OTU-13412	Ruminococcus bicirculans	95007	99	46.4646464646	185	0.288820823729	0.0140707683487
OTU-13309	Faecalibacterium sp.	52164	54	48.1481481481	100	0.285675945096	0.0139175562009
OTU-10090	Lactobacillus acidophilus	191559	185	42.7027027027	374	0.282403854687	0.0137581465518
OTU-13029	Oscillospiraceae HGM13029	13827	15	40.0	27	0.282129167571	0.0137447643492
OTU-12374	KLE1615 sp.	194778	138	56.5217391304	367	0.276473729066	0.0134692427851
OTU-13071	Oscillospiraceae HGM13071	96066	97	44.3298969072	176	0.270033102242	0.0131554684287
OTU-12316	Eubacterium HGM12316	214083	181	49.1712707182	388	0.266686285226	0.01299241825
OTU-12152	Lachnospiraceae sp.	15096	16	43.75	26	0.253709591945	0.0123602199108
OTU-13078	Oscillospiraceae sp.	15303	16	43.75	26	0.248774750049	0.0121198043609
OTU-13180	Ruminiclostridium HGM13180	126627	108	45.3703703704	210	0.243328831924	0.0118544902073
OTU-12480	Roseburia hominis	101496	99	44.4444444444	159	0.232176637503	0.0113111777749
OTU-13097	Oscillospiraceae HGM13097	107049	65	43.0769230769	158	0.219572345375	0.0106971220692
OTU-08668	Bilophila wadsworthia	53298	52	40.3846153846	79	0.216124432436	0.0105291467009
OTU-13151	NK3B98 HGM13151	56415	50	46.0	76	0.199556855446	0.00972200774558
OTU-05333	Odoribacter splanchnicus	155340	145	40.6896551724	195	0.185148706064	0.00902007175055
OTU-12214	Clostridium sp.	94053	80	43.75	118	0.183035097232	0.00891710098873
OTU-11503	Clostridia HGM11503	333543	167	56.8862275449	385	0.168550981433	0.00821146406296
OTU-13194	Ruminococcaceae HGM13194	241824	160	41.25	255	0.156857880111	0.00764179973665
OTU-12585	UBA7182 HGM12585	246018	155	43.8709677419	246	0.147383524783	0.00718022824275
OTU-12586	UBA7182 HGM12586	283134	164	48.7804878049	280	0.146195794218	0.00712236440375
OTU-12692	Oscillospirales sp.	469998	297	43.4343434343	449	0.140847407861	0.00686180180135
OTU-11862	Lachnospiraceae HGM11862	257031	165	41.8181818182	243	0.139115515249	0.00677742748431
OTU-12140	Lachnospiraceae HGM12140	528576	275	46.9090909091	495	0.138137183678	0.00672976514223
OTU-04058	Coriobacteriia HGM04058	235449	152	42.1052631579	216	0.136292785274	0.00663990976977
