species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01767	Bifidobacterium sp.	9009	11	90.9090909091	57153	936.396492396	58.2971798454
OTU-10232	Lactobacillus reuteri	218463	223	97.7578475336	723022	485.419064098	30.2207053421
OTU-20491	Klebsiella pneumoniae	4329	14	64.2857142857	2880	97.5754215754	6.07474712503
OTU-04066	Atopobiaceae HGM04066	217557	211	100.0	22055	14.9592244791	0.931315534485
OTU-01794	Bifidobacterium sp.	9408	12	100.0	522	8.16241496599	0.508166975324
OTU-04093	Libanicoccus HGM04093	38238	40	100.0	1813	7.00557037502	0.436145371526
OTU-11960	Agathobacter sp.	2001	3	100.0	48	3.50224887556	0.218039296623
OTU-05077	Prevotellamassilia HGM05077	319674	296	94.2567567568	4949	2.27525541646	0.14165043898
OTU-05026	Prevotella copri	402	2	50.0	6	2.19154228856	0.136438715835
OTU-13105	Oscillospiraceae sp.	17988	18	72.2222222222	265	2.18384478541	0.135959492847
OTU-04062	Atopobiaceae HGM04062	52044	49	87.7551020408	748	2.12345323188	0.132199699548
OTU-04940	Prevotella HGM04940	22077	27	81.4814814815	282	1.879784391	0.117029623244
OTU-04378	Slackia HGM04378	200769	158	97.4683544304	2505	1.84421897803	0.114815429478
OTU-13128	ER4 sp.	16134	21	80.9523809524	187	1.7101772654	0.106470402675
OTU-13313	Faecalibacterium sp.	4530	9	88.8888888889	52	1.67637969095	0.104366269124
OTU-05060	Prevotella sp.	2640	5	40.0	26	1.45454545455	0.0905555484728
OTU-04846	Prevotella HGM04846	9006	14	64.2857142857	85	1.39407061959	0.086790570327
OTU-12877	DTU089 sp.	110340	127	83.4645669291	1029	1.36410186696	0.0849248075054
OTU-13386	Ruminococcus sp.	230325	273	81.3186813187	1861	1.193422338	0.0742988223844
OTU-12939	Ruminococcus sp.	28980	44	75.0	237	1.19299516908	0.0742722281549
OTU-08908	Campylobacteraceae HGM08908	569802	299	97.6588628763	4439	1.1455768846	0.0713201108833
OTU-12237	Coprococcus sp.	60378	51	78.431372549	455	1.1074729206	0.0689478746988
OTU-13103	Oscillospiraceae sp.	32850	39	82.0512820513	245	1.10700152207	0.068918526869
OTU-01788	Bifidobacterium sp.	13704	16	68.75	90	0.977962638646	0.0608849609008
OTU-12485	Roseburia inulinivorans	576	2	50.0	4	0.934027777778	0.0581497109225
OTU-04954	Prevotella sp.	373710	292	83.2191780822	2280	0.904115490621	0.0562874634685
OTU-13434	Gemmiger formicilis	17439	18	72.2222222222	104	0.879408222949	0.0547492645979
OTU-12143	Lachnospiraceae HGM12143	51237	49	85.7142857143	307	0.876885844214	0.0545922290175
OTU-05664	RC9 sp.	28386	33	72.7272727273	152	0.791199887268	0.0492576835735
OTU-12115	Fusicatenibacter saccharivorans	52290	50	80.0	273	0.772384777204	0.0480863124031
OTU-12433	Oribacterium HGM12433	6486	7	71.4285714286	33	0.753006475486	0.0468798786439
OTU-13300	Faecalibacterium sp.	33222	41	73.1707317073	153	0.682288844741	0.0424772153798
OTU-13278	Faecalibacterium HGM13278	41202	37	75.6756756757	184	0.660914518713	0.0411465152558
OTU-13169	Oscillibacter sp.	5862	7	42.8571428571	24	0.610371886728	0.0379998856704
OTU-04924	Prevotella sp.	208707	162	80.8641975309	829	0.585883559248	0.0364753173461
OTU-12270	Dorea longicatena	38346	52	55.7692307692	151	0.582251082251	0.0362491704452
OTU-04986	Prevotella sp.	68169	51	76.4705882353	266	0.577491235019	0.0359528369237
OTU-19500	Sutterella HGM19500	31284	37	59.4594594595	123	0.573551975451	0.0357075906788
OTU-13500	Mogibacterium sp.	47451	44	65.9090909091	167	0.522243999073	0.0325133130937
OTU-13180	Ruminiclostridium HGM13180	126627	108	72.2222222222	447	0.520773610683	0.0324217712126
OTU-08837	Elusimicrobiaceae HGM08837	78753	81	56.7901234568	268	0.497949284472	0.0310007985148
OTU-04934	Prevotella sp.	127434	126	57.1428571429	420	0.485584694822	0.0302310170041
OTU-12106	Lachnospiraceae sp.	66639	59	44.0677966102	212	0.468869580876	0.0291903851652
OTU-12265	Dorea formicigenerans	43668	48	64.5833333333	138	0.467802509847	0.0291239525886
OTU-12838	DTU089 sp.	9495	12	41.6666666667	29	0.452659294365	0.0281811823374
OTU-11464	Clostridia sp.	176739	193	56.4766839378	542	0.451926286784	0.0281355475287
OTU-13412	Ruminococcus bicirculans	95007	99	53.5353535354	285	0.440199143221	0.0274054514605
OTU-12850	DTU089 sp.	174831	180	53.3333333333	506	0.426154400535	0.0265310687638
OTU-04911	Prevotella HGM04911	173910	156	64.1025641026	495	0.420677361854	0.0261900850975
OTU-04372	Senegalimassilia HGM04372	130707	131	49.6183206107	361	0.409052307834	0.0254663448118
OTU-12490	Ruminococcus sp.	36915	38	52.6315789474	100	0.397643234458	0.0247560508201
OTU-13242	Angelakisella HGM13242	40680	51	47.0588235294	109	0.392699115044	0.0244482450765
OTU-12243	Coprococcus comes	16233	16	62.5	42	0.386250231011	0.0240467572929
OTU-12170	Lachnospiraceae sp.	173394	146	67.8082191781	448	0.380630240954	0.0236968739115
OTU-13119	ER4 HGM13119	34983	28	53.5714285714	89	0.37598262013	0.0234075272627
OTU-11569	PeH17 sp.	317958	290	57.2413793103	791	0.365479088433	0.0227536095245
OTU-23488	Victivallales HGM23488	250311	233	54.9356223176	614	0.362584944329	0.0225734289699
OTU-13127	ER4 sp.	102381	109	51.376146789	245	0.35530029986	0.0221199092994
OTU-05666	RC9 sp.	333243	249	65.4618473896	800	0.354675116957	0.0220809873252
OTU-12483	Roseburia intestinalis	17790	23	47.8260869565	41	0.337942664418	0.0210392760385
OTU-12405	Lachnospira sp.	119586	118	48.3050847458	274	0.336887261051	0.0209735698548
OTU-11969	Anaerostipes hadrus	13074	19	42.1052631579	30	0.333409821019	0.0207570750809
OTU-12152	Lachnospiraceae sp.	15096	16	43.75	34	0.331743508214	0.0206533355453
OTU-04317	Collinsella sp.	78426	69	57.9710144928	169	0.317088720577	0.0197409733169
OTU-14087	Mitsuokella jalaludinii	22509	24	45.8333333333	47	0.307432582523	0.0191398117135
OTU-12281	Eubacterium sp.	130137	150	41.3333333333	271	0.304240915343	0.0189411082828
OTU-04952	Prevotella HGM04952	279948	298	42.6174496644	576	0.302884821467	0.0188566820283
OTU-08681	Desulfovibrio piger	76632	50	48.0	155	0.297617183422	0.0185287350048
OTU-13074	Oscillospiraceae sp.	102972	111	40.5405405405	200	0.28749562988	0.0178985980575
OTU-12731	DTU089 HGM12731	148416	159	40.8805031447	281	0.280077619664	0.0174367754437
OTU-13384	Ruminococcus HGM13384	315846	275	50.9090909091	596	0.279091709251	0.0173753956787
OTU-12239	Coprococcus catus	118251	98	55.1020408163	223	0.277223871257	0.0172591098016
OTU-13078	Oscillospiraceae sp.	15303	16	43.75	28	0.270535189179	0.0168426929256
OTU-12403	Lachnospira pectinoschiza	109881	114	42.9824561404	195	0.261064242226	0.0162530607535
OTU-08664	Desulfovibrionaceae HGM08664	285768	230	55.2173913043	489	0.25253702304	0.0157221821838
OTU-04748	Bacteroides sp.	147468	117	46.1538461538	250	0.249877939621	0.0155566357881
OTU-04993	Prevotella sp.	313410	238	50.0	528	0.248814651734	0.0154904387384
OTU-12086	Butyrivibrio sp.	343518	293	47.0989761092	575	0.246435412409	0.0153423145795
OTU-05233	Homeothermaceae sp.	305580	279	41.935483871	472	0.227439623012	0.0141596948668
OTU-04863	Prevotella HGM04863	278778	232	45.6896551724	404	0.214679781044	0.0133653061565
OTU-11952	Agathobacter HGM11952	237987	223	41.7040358744	349	0.213873026678	0.0133150800986
OTU-04195	Collinsella HGM04195	1452	1	100.0	2	0.206611570248	0.0128630040444
OTU-04061	Coriobacteriales HGM04061	215079	146	48.6301369863	299	0.20386927594	0.0126922771934
OTU-12374	KLE1615 sp.	194778	138	45.652173913	258	0.194986086724	0.0121392370192
OTU-12546	Shuttleworthia HGM12546	284325	209	49.2822966507	347	0.178696913743	0.0111251229612
OTU-12149	Lachnospiraceae sp.	20577	18	44.4444444444	25	0.178646061136	0.0111219570335
OTU-11428	Clostridia HGM11428	532176	300	45.0	521	0.144275578004	0.00898215594197
