species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01767	Bifidobacterium sp.	9009	11	90.9090909091	62467	1022.56010656	62.8496701015
OTU-10232	Lactobacillus reuteri	218463	223	97.7578475336	630708	422.421329928	25.9633062736
OTU-20491	Klebsiella pneumoniae	4329	14	64.2857142857	2664	89.9718179718	5.52994297517
OTU-04066	Atopobiaceae HGM04066	217557	211	100.0	22383	15.1731546215	0.932588467167
OTU-01794	Bifidobacterium sp.	9408	12	100.0	534	8.38159013605	0.515158152169
OTU-04093	Libanicoccus HGM04093	38238	40	100.0	1970	7.60745854909	0.467577658324
OTU-11960	Agathobacter sp.	2001	3	100.0	84	6.12243878061	0.376303803668
OTU-05077	Prevotellamassilia HGM05077	319674	296	96.6216216216	6183	2.84556141569	0.174896903451
OTU-13310	Faecalibacterium sp.	354	1	100.0	6	2.53389830508	0.155741135923
OTU-04940	Prevotella HGM04940	22077	27	81.4814814815	355	2.35099877701	0.144499571806
OTU-13105	Oscillospiraceae sp.	17988	18	77.7777777778	247	2.0234600845	0.124368042483
OTU-04062	Atopobiaceae HGM04062	52044	49	89.7959183673	681	1.92927138575	0.118578917125
OTU-13128	ER4 sp.	16134	21	90.4761904762	203	1.85422089996	0.11396608484
OTU-04378	Slackia HGM04378	200769	158	99.3670886076	2520	1.85124695546	0.113783297119
OTU-05026	Prevotella copri	402	2	50.0	4	1.48258706468	0.0911243332435
OTU-13386	Ruminococcus sp.	230325	273	80.9523809524	2133	1.36905676761	0.0841464141253
OTU-12877	DTU089 sp.	110340	127	84.2519685039	1027	1.35767627334	0.0834469341572
OTU-04846	Prevotella HGM04846	9006	14	71.4285714286	78	1.27315123251	0.0782517667561
OTU-13313	Faecalibacterium sp.	4530	9	66.6666666667	37	1.21037527594	0.0743933645599
OTU-13103	Oscillospiraceae sp.	32850	39	82.0512820513	264	1.18633181126	0.0729155797204
OTU-05060	Prevotella sp.	2640	5	60.0	21	1.15909090909	0.0712412705978
OTU-12939	Ruminococcus sp.	28980	44	70.4545454545	229	1.14423740511	0.070328328836
OTU-12237	Coprococcus sp.	60378	51	72.5490196078	465	1.12569147703	0.0691884394017
OTU-08908	Campylobacteraceae HGM08908	569802	299	97.9933110368	4376	1.12408345355	0.069089605363
OTU-12143	Lachnospiraceae HGM12143	51237	49	85.7142857143	362	1.03690692273	0.0637314692814
OTU-12115	Fusicatenibacter saccharivorans	52290	50	76.0	349	0.984490342322	0.0605097860127
OTU-01788	Bifidobacterium sp.	13704	16	68.75	85	0.917761237595	0.0564084112462
OTU-04954	Prevotella sp.	373710	292	81.5068493151	2281	0.89987155816	0.0553088568596
OTU-04832	Prevotella HGM04832	2901	4	50.0	17	0.866597724922	0.0532637453512
OTU-12485	Roseburia inulinivorans	576	2	50.0	3	0.78125	0.0480180132706
OTU-12433	Oribacterium HGM12433	6486	7	71.4285714286	34	0.769041011409	0.0472676115091
OTU-13434	Gemmiger formicilis	17439	18	66.6666666667	89	0.755089167957	0.0464100885599
OTU-05664	RC9 sp.	28386	33	72.7272727273	144	0.747445924047	0.0459403114239
OTU-12243	Coprococcus comes	16233	16	75.0	69	0.622990205138	0.0382908824803
OTU-04924	Prevotella sp.	208707	162	75.9259259259	876	0.620429597474	0.0381334997056
OTU-04986	Prevotella sp.	68169	51	74.5098039216	273	0.591823262773	0.0363752669257
OTU-13278	Faecalibacterium HGM13278	41202	37	83.7837837838	164	0.591257705937	0.0363405060736
OTU-13180	Ruminiclostridium HGM13180	126627	108	74.0740740741	490	0.571939633727	0.0351531583006
OTU-12270	Dorea longicatena	38346	52	59.6153846154	152	0.569994262765	0.0350335898543
OTU-13500	Mogibacterium sp.	47451	44	77.2727272727	180	0.559355967208	0.0343797276882
