species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01767	Bifidobacterium sp.	9009	11	100.0	126568	2070.92196692	88.2014628977
OTU-10232	Lactobacillus reuteri	218463	223	96.8609865471	212615	142.361589834	6.06324172731
OTU-01794	Bifidobacterium sp.	9408	12	100.0	2427	38.0857780612	1.62208977173
OTU-04066	Atopobiaceae HGM04066	217557	211	100.0	38310	25.9780563255	1.1064166626
OTU-01788	Bifidobacterium sp.	13704	16	87.5	1939	20.8623759486	0.888537621206
OTU-20438	Escherichia coli	3069	5	100.0	264	12.6298468557	0.537910643972
OTU-11960	Agathobacter sp.	2001	3	100.0	44	3.25787106447	0.138754138692
OTU-04093	Libanicoccus HGM04093	38238	40	100.0	557	2.1602332758	0.0920052701981
OTU-05077	Prevotellamassilia HGM05077	319674	296	91.5540540541	4004	1.8425395872	0.0784745584982
OTU-04378	Slackia HGM04378	200769	158	98.7341772152	2114	1.55699834138	0.0663132332518
OTU-13128	ER4 sp.	16134	21	90.4761904762	166	1.51010288831	0.0643159356086
OTU-04940	Prevotella HGM04940	22077	27	81.4814814815	229	1.49812021561	0.063805588392
OTU-04062	Atopobiaceae HGM04062	52044	49	81.6326530612	465	1.32380293598	0.0563813400053
OTU-05060	Prevotella sp.	2640	5	40.0	21	1.19053030303	0.0507052008857
OTU-13313	Faecalibacterium sp.	4530	9	77.7777777778	36	1.18189845475	0.0503375667313
OTU-13105	Oscillospiraceae sp.	17988	18	66.6666666667	132	1.09250611519	0.0465303082991
OTU-13386	Ruminococcus sp.	230325	273	75.4578754579	1408	0.898886356236	0.0382839589638
OTU-12237	Coprococcus sp.	60378	51	74.5098039216	357	0.867286097585	0.0369380902708
OTU-13103	Oscillospiraceae sp.	32850	39	76.9230769231	184	0.830654490107	0.0353779342535
OTU-12877	DTU089 sp.	110340	127	73.2283464567	624	0.822747870219	0.0350411878904
OTU-08908	Campylobacteraceae HGM08908	569802	299	96.3210702341	3184	0.820056791657	0.0349265736897
OTU-12939	Ruminococcus sp.	28980	44	65.9090909091	152	0.768978605935	0.0327511316524
OTU-12143	Lachnospiraceae HGM12143	51237	49	81.6326530612	261	0.745750141499	0.0317618212985
OTU-04846	Prevotella HGM04846	9006	14	71.4285714286	45	0.743726404619	0.0316756294688
OTU-12270	Dorea longicatena	38346	52	65.3846153846	189	0.715354926198	0.0304672759233
OTU-05664	RC9 sp.	28386	33	78.7878787879	136	0.703762418093	0.0299735459857
OTU-04954	Prevotella sp.	373710	292	78.0821917808	1734	0.685411147681	0.0291919574361
OTU-20491	Klebsiella pneumoniae	4329	14	42.8571428571	20	0.661584661585	0.0281771770808
OTU-12115	Fusicatenibacter saccharivorans	52290	50	70.0	210	0.589998087588	0.0251282739105
OTU-08837	Elusimicrobiaceae HGM08837	78753	81	61.7283950617	256	0.472858176831	0.0201392344115
OTU-04986	Prevotella sp.	68169	51	64.7058823529	212	0.459461045343	0.0195686447829
OTU-12106	Lachnospiraceae sp.	66639	59	54.2372881356	208	0.458275184201	0.0195181384436
OTU-13500	Mogibacterium sp.	47451	44	54.5454545455	143	0.445153948283	0.0189592993268
OTU-04934	Prevotella sp.	127434	126	56.3492063492	367	0.424211748827	0.0180673619878
OTU-13434	Gemmiger formicilis	17439	18	72.2222222222	49	0.407764206663	0.0173668540483
OTU-13278	Faecalibacterium HGM13278	41202	37	56.7567567568	112	0.403524100772	0.0171862661032
OTU-04924	Prevotella sp.	208707	162	61.1111111111	543	0.384380974285	0.0163709520607
OTU-04911	Prevotella HGM04911	173910	156	62.8205128205	442	0.374653556437	0.0159566571244
OTU-11464	Clostridia sp.	176739	193	52.3316062176	448	0.369901380001	0.0157542598732
OTU-13123	ER4 HGM13123	20784	27	51.8518518519	51	0.361624326405	0.0154017365781
OTU-12265	Dorea formicigenerans	43668	48	60.4166666667	107	0.356943299441	0.0152023696137
OTU-14087	Mitsuokella jalaludinii	22509	24	58.3333333333	54	0.356035363632	0.0151637002346
OTU-12433	Oribacterium HGM12433	6486	7	42.8571428571	16	0.350292938637	0.0149191278687
OTU-13412	Ruminococcus bicirculans	95007	99	41.4141414141	222	0.343353647626	0.0146235804611
OTU-13180	Ruminiclostridium HGM13180	126627	108	61.1111111111	282	0.331035245248	0.0140989343722
OTU-05666	RC9 sp.	333243	249	57.8313253012	742	0.329555309489	0.0140359032677
OTU-12838	DTU089 sp.	9495	12	41.6666666667	20	0.29046866772	0.0123711862774
OTU-04376	Senegalimassilia sp.	8253	9	66.6666666667	16	0.288743487217	0.0122977100931
OTU-11569	PeH17 sp.	317958	290	46.8965517241	613	0.283270117437	0.0120645969053
OTU-12490	Ruminococcus sp.	36915	38	42.1052631579	66	0.267018827035	0.0113724474132
OTU-04372	Senegalimassilia HGM04372	130707	131	41.2213740458	235	0.264377577329	0.0112599554451
OTU-13119	ER4 HGM13119	34983	28	53.5714285714	63	0.262384586799	0.0111750731158
OTU-12239	Coprococcus catus	118251	98	56.1224489796	206	0.254340343845	0.0108324653267
OTU-23488	Victivallales HGM23488	250311	233	48.9270386266	430	0.25312910739	0.0107808782419
OTU-12243	Coprococcus comes	16233	16	43.75	27	0.246473233537	0.0104974016937
OTU-12170	Lachnospiraceae sp.	173394	146	49.3150684932	287	0.243543605892	0.0103726275843
OTU-12850	DTU089 sp.	174831	180	40.5555555556	262	0.222712219229	0.00948540981019
OTU-13384	Ruminococcus HGM13384	315846	275	40.7272727273	465	0.216839852333	0.00923530316245
OTU-04195	Collinsella HGM04195	1452	1	100.0	2	0.194903581267	0.0083010278834
OTU-04993	Prevotella sp.	313410	238	44.9579831933	401	0.189537666316	0.00807249124317
OTU-04748	Bacteroides sp.	147468	117	51.2820512821	182	0.181334255567	0.00772310442883
OTU-12009	Ruminococcus obeum	50979	50	42.0	62	0.178995272563	0.00762348613034
OTU-12374	KLE1615 sp.	194778	138	46.3768115942	223	0.169634147594	0.00722479176625
