species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01767	Bifidobacterium sp.	9009	11	100.0	63892	1045.97835498	62.0921715709
OTU-10232	Lactobacillus reuteri	218463	223	98.2062780269	675698	452.61274907	26.868346115
OTU-20491	Klebsiella pneumoniae	4329	14	64.2857142857	2787	94.0990990991	5.5859830924
OTU-04066	Atopobiaceae HGM04066	217557	211	100.0	25720	17.4397698075	1.03527302825
OTU-01794	Bifidobacterium sp.	9408	12	100.0	835	13.1175595238	0.778694657176
OTU-04093	Libanicoccus HGM04093	38238	40	100.0	1937	7.48729013024	0.444466275191
OTU-11960	Agathobacter sp.	2001	3	100.0	62	4.49975012494	0.267117627677
OTU-05077	Prevotellamassilia HGM05077	319674	296	93.9189189189	4658	2.14513848483	0.127341360564
OTU-04378	Slackia HGM04378	200769	158	99.3670886076	2706	1.98537124755	0.117857134948
OTU-04062	Atopobiaceae HGM04062	52044	49	83.6734693878	653	1.85571823841	0.110160573303
OTU-13105	Oscillospiraceae sp.	17988	18	77.7777777778	226	1.85329108294	0.110016490633
OTU-10044	Enterococcus faecium	250698	264	67.4242424242	3175	1.85243200983	0.109965493674
OTU-05060	Prevotella sp.	2640	5	40.0	31	1.74015151515	0.103300212594
OTU-04940	Prevotella HGM04940	22077	27	81.4814814815	260	1.71939122163	0.102067824084
OTU-04846	Prevotella HGM04846	9006	14	57.1428571429	98	1.60004441483	0.0949830671486
OTU-13128	ER4 sp.	16134	21	90.4761904762	160	1.47186066691	0.0873737249184
OTU-12877	DTU089 sp.	110340	127	86.6141732283	931	1.22723400399	0.0728520088112
OTU-12939	Ruminococcus sp.	28980	44	68.1818181818	242	1.21204278813	0.0719502161719
OTU-12237	Coprococcus sp.	60378	51	80.3921568627	477	1.15222432012	0.0683992262673
OTU-05026	Prevotella copri	402	2	50.0	3	1.10199004975	0.0654171808746
OTU-01788	Bifidobacterium sp.	13704	16	68.75	97	1.0441476941	0.0619834984721
OTU-04227	Collinsella HGM04227	2163	2	50.0	15	1.03791030975	0.0616132300652
OTU-13386	Ruminococcus sp.	230325	273	75.0915750916	1607	1.0304482796	0.0611702632924
OTU-13103	Oscillospiraceae sp.	32850	39	64.1025641026	212	0.956073059361	0.0567551442662
OTU-13313	Faecalibacterium sp.	4530	9	88.8888888889	29	0.929580573951	0.0551824769719
OTU-08908	Campylobacteraceae HGM08908	569802	299	95.3177257525	3363	0.865870951664	0.0514004973746
