species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-12132	Lachnospiraceae sp.	284919	258	44.5736434109	466	0.237569274074	0.00921203227013
OTU-11539	Christensenellales HGM11539	207327	158	55.0632911392	335	0.237552272497	0.00921137301367
OTU-12288	Eubacterium sp.	357258	296	48.9864864865	567	0.232621802731	0.00902018816129
OTU-13180	Ruminiclostridium HGM13180	126627	108	43.5185185185	197	0.229785116918	0.00891019228178
OTU-23479	UBA1784 HGM23479	247635	167	53.2934131737	382	0.227128636905	0.00880718409732
OTU-04757	Bacteroides plebeius	32991	33	45.4545454545	49	0.215755812191	0.0083661892394
OTU-23480	UBA1784 HGM23480	448584	297	48.8215488215	650	0.2134137642	0.00827537353204
OTU-11569	PeH17 sp.	317958	290	40.6896551724	457	0.211012146258	0.00818224792871
OTU-12585	UBA7182 HGM12585	246018	155	53.5483870968	333	0.19950166248	0.0077359151762
OTU-05333	Odoribacter splanchnicus	155340	145	41.3793103448	203	0.191579760525	0.00742873396881
OTU-12345	Lachnospiraceae sp.	279498	208	43.2692307692	354	0.186856435466	0.0072455813998
OTU-01737	Gardnerella vaginalis	550764	300	56.3333333333	637	0.169206774589	0.00656119472485
OTU-13383	Ruminococcus sp.	444147	300	47.0	485	0.159008166215	0.00616573150756
OTU-11350	Clostridia HGM11350	439536	260	41.9230769231	471	0.15571420771	0.00603800433339
OTU-11780	Lachnospirales HGM11780	618204	298	52.3489932886	635	0.150912967241	0.0058518305013
OTU-13139	Oscillospiraceae sp.	14577	16	43.75	14	0.140426699595	0.0054452129523
