species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01767	Bifidobacterium sp.	9009	11	63.6363636364	87506	1427.40903541	69.8963265933
OTU-10135	Lactobacillus ruminis	284763	249	100.0	601883	309.485568701	15.1546640446
OTU-01769	Bifidobacterium sp.	82953	76	100.0	39241	69.7193832652	3.41396800896
OTU-20438	Escherichia coli	3069	5	100.0	1208	57.8038449006	2.83049659999
OTU-01788	Bifidobacterium sp.	13704	16	93.75	5287	56.834938704	2.78305190665
OTU-20408	Enterobacter cloacae	5328	10	80.0	803	22.1728603604	1.08574448586
OTU-20491	Klebsiella pneumoniae	4329	14	71.4285714286	457	15.5225225225	0.760095583587
OTU-04093	Libanicoccus HGM04093	38238	40	100.0	2952	11.3754118939	0.557022889128
OTU-01770	Bifidobacterium sp.	324933	298	99.6644295302	21470	9.73479148009	0.476686182959
OTU-04846	Prevotella HGM04846	9006	14	78.5714285714	353	5.75183211193	0.281651527931
OTU-20493	Klebsiella pneumoniae	11613	19	73.6842105263	435	5.50917075691	0.269769063339
OTU-12236	Coprococcus eutactus	295593	280	97.8571428571	8488	4.22169672489	0.206724972128
OTU-05079	Prevotellamassilia sp.	325293	228	98.6842105263	7062	3.19766487444	0.156580925898
OTU-12863	DTU089 HGM12863	76347	78	80.7692307692	1426	2.72860754188	0.133612467878
OTU-12087	Butyrivibrio crossotus	314817	292	91.095890411	4501	2.08801303614	0.102244302428
OTU-20409	Enterobacter hormaechei	79326	91	60.4395604396	1079	1.99030582659	0.0974598469148
OTU-12939	Ruminococcus sp.	28980	44	77.2727272727	351	1.77339544513	0.0868383372511
OTU-01737	Gardnerella vaginalis	550764	300	98.6666666667	6443	1.72061717905	0.0842539295361
OTU-12149	Lachnospiraceae sp.	20577	18	66.6666666667	228	1.61792292365	0.0792252719922
OTU-08832	Elusimicrobiaceae HGM08832	232224	246	88.2113821138	2563	1.61249483258	0.0789594731796
OTU-14006	Acidaminococcus fermentans	37521	38	89.4736842105	389	1.52365342075	0.0746091515956
OTU-19512	Sutterella sp.	290154	274	91.6058394161	2911	1.47882503774	0.0724140279682
OTU-12556	Lachnospiraceae sp.	225399	199	89.4472361809	2153	1.40208696578	0.0686563739204
OTU-13255	Ruminococcaceae sp.	290982	285	88.7719298246	2660	1.34321710621	0.0657736774902
OTU-12697	Oscillospirales HGM12697	40803	60	73.3333333333	358	1.27953826924	0.0626554985552
OTU-12115	Fusicatenibacter saccharivorans	52290	50	92.0	429	1.2011091987	0.0588150409195
OTU-04934	Prevotella sp.	127434	126	77.7777777778	1040	1.20072351178	0.0587961548832
OTU-13389	Ruminococcus sp.	28464	27	85.1851851852	206	1.06232433952	0.0520191249606
OTU-10138	Lactobacillus salivarius	335043	298	77.5167785235	2217	0.961533295726	0.047083662497
OTU-12838	DTU089 sp.	9495	12	58.3333333333	61	0.950816219063	0.0465588764882
OTU-05233	Homeothermaceae sp.	305580	279	80.6451612903	1834	0.882567576412	0.0432169266351
OTU-13128	ER4 sp.	16134	21	61.9047619048	94	0.867422833767	0.0424753299016
OTU-12270	Dorea longicatena	38346	52	65.3846153846	227	0.855082668336	0.0418710656635
OTU-20495	Klebsiella oxytoca	46884	55	56.3636363636	268	0.833887893524	0.0408332153588
OTU-11980	Bacteroides pectinophilus	412965	299	84.6153846154	2165	0.769547056046	0.0376826200647
OTU-12039	Blautia sp.	63324	71	60.5633802817	304	0.706477796728	0.0345942904844
OTU-13311	Faecalibacterium sp.	37905	43	62.7906976744	172	0.672285978103	0.0329200103992
OTU-20407	Enterobacter cloacae	97008	124	62.9032258065	434	0.656492248062	0.0321466345233
OTU-11569	PeH17 sp.	317958	290	71.724137931	1244	0.57523949704	0.0281679089575
OTU-12936	Ruminococcus bromii	9117	15	40.0	36	0.574860151366	0.0281493334346
OTU-04372	Senegalimassilia HGM04372	130707	131	61.0687022901	406	0.457420031062	0.0223986111117
OTU-12876	DTU089 sp.	132603	155	48.3870967742	384	0.423105057955	0.0207183004874
OTU-12850	DTU089 sp.	174831	180	56.1111111111	494	0.415772946445	0.0203592669883
OTU-13278	Faecalibacterium HGM13278	41202	37	70.2702702703	116	0.40917916606	0.0200363875502
OTU-04376	Senegalimassilia sp.	8253	9	44.4444444444	23	0.407367018054	0.0199476516058
OTU-11397	Clostridia HGM11397	435468	261	76.245210728	1199	0.403561226083	0.0197612923549
OTU-05060	Prevotella sp.	2640	5	40.0	7	0.396212121212	0.0194014267372
