species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01779	Bifidobacterium sp.	5097	6	100.0	51838	1499.62625074	50.2440684499
OTU-01767	Bifidobacterium sp.	9009	11	100.0	55512	908.972693973	30.4545790877
OTU-01746	Bifidobacterium HGM01746	7839	10	60.0	10595	198.038270188	6.63515219083
OTU-10308	Weissella cibaria	376113	300	100.0	479938	187.585683026	6.2849445944
OTU-01788	Bifidobacterium sp.	13704	16	93.75	8342	89.936660829	3.01327330101
OTU-20438	Escherichia coli	3069	5	100.0	325	15.5272075595	0.520229676608
OTU-05648	RC9 HGM05648	72111	51	98.0392156863	5792	11.8211229909	0.396059559787
OTU-11998	Blautia HGM11998	5112	7	100.0	184	5.29147104851	0.177287529764
OTU-13067	Oscillospiraceae sp.	11973	14	78.5714285714	273	3.38077340683	0.113270763554
OTU-13300	Faecalibacterium sp.	33222	41	92.6829268293	597	2.64737222323	0.0886986014887
OTU-13278	Faecalibacterium HGM13278	41202	37	94.5945945946	620	2.21831464492	0.0743232874245
OTU-12374	KLE1615 sp.	194778	138	99.2753623188	2891	2.17879329288	0.0729991484823
OTU-12115	Fusicatenibacter saccharivorans	52290	50	96.0	669	1.88144960796	0.0630368285703
OTU-11969	Anaerostipes hadrus	13074	19	73.6842105263	165	1.84618326449	0.0618552511112
OTU-12237	Coprococcus sp.	60378	51	82.3529411765	728	1.77036337739	0.0593149517562
OTU-12979	Oscillospiraceae HGM12979	375783	291	97.5945017182	4478	1.76001841488	0.0589683500586
OTU-12152	Lachnospiraceae sp.	15096	16	93.75	181	1.74940381558	0.0586127143436
OTU-13279	Faecalibacterium HGM13279	4560	7	85.7142857143	53	1.71864035088	0.0575820031076
OTU-13263	Ruminococcaceae sp.	287847	291	91.0652920962	3244	1.66052451476	0.0556348672486
OTU-04065	Atopobiaceae HGM04065	60114	56	78.5714285714	586	1.43934857105	0.0482245013326
OTU-11888	Lachnospiraceae HGM11888	568050	274	99.2700729927	5289	1.36835489834	0.0458459013651
OTU-13313	Faecalibacterium sp.	4530	9	66.6666666667	42	1.35607064018	0.0454343247422
OTU-16782	RF32 sp.	249285	261	85.0574712644	2150	1.26961509918	0.042537684251
OTU-12270	Dorea longicatena	38346	52	86.5384615385	322	1.21749335002	0.0407913766419
OTU-00344	Methanobrevibacter smithii	5529	14	64.2857142857	46	1.20274914089	0.040297380853
OTU-12037	Blautia sp.	58497	47	87.2340425532	455	1.13421201087	0.0380010858592
OTU-13072	Oscillospiraceae HGM13072	116748	111	77.4774774775	733	0.925960187755	0.031023734769
OTU-05292	UBA7173 HGM05292	251682	214	77.5700934579	1542	0.90293306633	0.0302522250248
OTU-12876	DTU089 sp.	132603	155	74.1935483871	783	0.86230326614	0.0288909481994
OTU-16785	RF32 HGM16785	508860	293	94.8805460751	2892	0.834335573635	0.0279539076162
OTU-11449	Clostridia sp.	318351	298	79.8657718121	1793	0.828720500328	0.0277657779889
OTU-19512	Sutterella sp.	290154	274	82.4817518248	1585	0.804962192491	0.0269697702872
OTU-05233	Homeothermaceae sp.	305580	279	80.6451612903	1624	0.782649388049	0.0262221933006
OTU-05704	Parabacteroides distasonis	353586	283	79.1519434629	1844	0.764433546577	0.0256118825746
OTU-12731	DTU089 HGM12731	148416	159	70.4402515723	760	0.756178579129	0.0253353048944
OTU-04255	Collinsella HGM04255	18132	22	45.4545454545	87	0.715199647033	0.0239623306162
OTU-12282	Eubacterium sp.	40116	45	75.5555555556	192	0.699072689201	0.0234220066703
OTU-12239	Coprococcus catus	118251	98	81.6326530612	531	0.656172040828	0.0219846464531
OTU-13309	Faecalibacterium sp.	52164	54	68.5185185185	225	0.632121769803	0.0211788567018
OTU-12490	Ruminococcus sp.	36915	38	63.1578947368	155	0.619829337668	0.0207670062149
OTU-23701	Akkermansia muciniphila	24186	31	48.3870967742	102	0.607830976598	0.0203650084007
OTU-12850	DTU089 sp.	174831	180	64.4444444444	705	0.595106131064	0.0199386701649
