species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-01779	Bifidobacterium sp.	5097	6	83.3333333333	41471	1200.14518344	49.7372183202
OTU-01767	Bifidobacterium sp.	9009	11	100.0	44925	736.402153402	30.5184699156
OTU-10308	Weissella cibaria	376113	300	100.0	431824	168.989678634	7.00338313734
OTU-01746	Bifidobacterium HGM01746	7839	10	60.0	8793	164.52991453	6.81855861448
OTU-01788	Bifidobacterium sp.	13704	16	93.75	6256	67.469716871	2.79612507246
OTU-20438	Escherichia coli	3069	5	100.0	250	12.0198761812	0.498135737287
OTU-05648	RC9 HGM05648	72111	51	96.0784313725	4150	8.4853767109	0.351656649398
OTU-11998	Blautia HGM11998	5112	7	100.0	192	5.51741001565	0.228656191182
OTU-13067	Oscillospiraceae sp.	11973	14	85.7142857143	257	3.17138561764	0.13143068107
OTU-13300	Faecalibacterium sp.	33222	41	92.6829268293	486	2.1658539522	0.0897587661531
OTU-13279	Faecalibacterium HGM13279	4560	7	100.0	66	2.16359649123	0.0896652109477
OTU-13278	Faecalibacterium HGM13278	41202	37	94.5945945946	509	1.82352798408	0.0755718647281
OTU-12374	KLE1615 sp.	194778	138	99.2753623188	2295	1.73225929006	0.0717894465485
OTU-11969	Anaerostipes hadrus	13074	19	73.6842105263	153	1.70720513997	0.0707511357257
OTU-12115	Fusicatenibacter saccharivorans	52290	50	96.0	561	1.57576974565	0.0653041023229
OTU-12152	Lachnospiraceae sp.	15096	16	100.0	155	1.51430842607	0.0627569812644
OTU-12237	Coprococcus sp.	60378	51	80.3921568627	614	1.49408725032	0.0619189617924
OTU-13263	Ruminococcaceae sp.	287847	291	90.0343642612	2539	1.29994059344	0.053873006359
OTU-12979	Oscillospiraceae HGM12979	375783	291	97.5945017182	3304	1.29831844442	0.0538057801759
OTU-13310	Faecalibacterium sp.	354	1	100.0	3	1.27118644068	0.0526813575541
OTU-11888	Lachnospiraceae HGM11888	568050	274	99.2700729927	4199	1.08709092509	0.0450519482321
