;t0;t4;t8;t24
Exp1C1;0;0;0;0
Exp1C2;0;0;0;0
Exp1S1;0;0;6.46;6.7
Exp1S2;0;0;6.59;6.77
Exp1A1;0;0;0;0
Exp1A2;0;0;0;0
Exp1AS1;0;0;6.4;6.26
Exp1AS2;0;0;6.6;6.53
Exp2C1;0;0;0;0
Exp2C2;0;0;0;0
Exp2S1;4.78;0;7;7.2
Exp2S2;4.93;0;6.94;6.94
Exp2A1;0;0;0;0
Exp2A2;0;0;0;0
Exp2AS1;5.04;0;6.4;6.4
Exp2AS2;5.02;0;6.59;6.59
Exp3C1;0;0;0;0
Exp3C2;0;0;0;0
Exp3S1;5.06;0;6.88;6.69
Exp3S2;4.98;0;6.96;6.67
Exp3A1;0;0;0;0
Exp3A2;0;0;0;0
Exp3AS1;5.23;0;6.53;5.63
Exp3AS2;5.04;0;6.48;5.55
